,SKU,,,Product Name
,HW2856GK,,,V-Minion - Mechanical Kit
,,,,26/12/2021 20:20
,,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW316BRC,115,,T-SLOT 3060 - Black Anodized 1000mm
1,HW316BRC,270,X,T-SLOT 3060 - Black Anodized 1000mm
1,HW316BRC,345,,T-SLOT 3060 - Black Anodized 1000mm
1,HW306BRC,120,,T-SLOT 3030 - Black Anodized 1000mm
1,HW201BRC,362,,V-SLOT 2020 - Black Anodized 1000mm
1,HW2791SC,,,Lead Screw - TR8*4 Metric Acme Lead Screw - 250mm
1,HW2352GC,,,Linear Rail - MGN12 250mm + MGN12C carriage
2,HW2358GC,,,Linear Rail - MGN15 250mm + MGN15H carriage
1,HW1597GC,600,,Timing Belt  - 2GT 6mm (By the meter)
1,HW1653GC,650,,Timing Belt  - 2GT 9mm (By the meter)
2,HW1915PC,,,Joining Plate for 3030 - 90 Degree - Black Anodized
1,HW1914PC,,,Joining Plate for 3030 - T - Black Anodized
1,HW2793PC,,,V-Minion - Plate - bed v1.0 - 5mm Cast Tooling Plate
1,HW2794PC,,,V-Minion - Plate - sub_plate v1.0 - 4mm
1,HW2795PC,,,V-Minion - Plate - x_plate v1.0 - 4mm
3,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
2,HW2841BC,,,Cast 90 Degree Corner Bracket for 3030 - No tabs / Multi Angle - Black
2,HW2852SC,,,Cap Head Screw - Low Head M5 (Single) (Length: 12mm) - DIN7984
6,HW1505SC,,,Cap Head Screw M3 (Single) (Length: 10mm)
21,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
2,HW1507SC,,,Cap Head Screw M3 (Single) (Length: 16mm)
4,HW1866SC,,,Cap Head Screw M3 (Single) (Length: 18mm)
9,HW1290SC,,,Cap Head Screw M3 (Single) (Length: 25mm)
2,HW1227SK,,,Cap Head Screw M3 (Single) (Length: 30mm)
4,HW1868SC,,,Cap Head Screw M3 (Single) (Length: 35mm)
1,HW1869SC,,,Cap Head Screw M3 (Single) (Length: 40mm)
3,HW2348SC,,,Cap Head Screw M3 (Single) (Length: 6mm)
36,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
13,HW1285SC,,,Cap Head Screw M5 (Single) (Length: 10mm)
1,HW1202SC,,,Cap Head Screw M5 (Single) (Length: 12mm)
2,HW2116SC,,,Cap Head Screw M5 (Single) (Length: 14mm)
3,HW1055SC,,,Cap Head Screw M5 (Single) (Length: 25mm)
2,HW2139SC,,,Cap Head Screw M5 (Single) (Length: 50mm)
38,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
3,HW2799SC,,,Cap Head Screw M8 (Single) (Length: 30mm)
3,HW2853SC,,,Countersink Screw M4 (Single) (Length: 30mm)
4,HW2173SC,,,Countersink Screw M6 (Single) (Length: 14mm)
2,HW1155SC,,,Low Profile Screw - 15mm (Single)
1,HW2010NC,,,Flat Square Nut - M3 (5.5mm x 5.5mm x 1.8mm)
6,HW1251NC,,,Hex Locking Nut - M3
3,HW1374NC,,,Hex Locking Nut - M4
6,HW1039NC,,,Hex Locking Nut - M5
24,HW1508NC,,,Hex Nut - M3
2,HW1594NC,,,Hex Nut - M5
10,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
4,HW1030NC,,,T-Nut - Drop In for 2020 - M5 (Single)
14,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
5,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
34,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
10,HW1522NC,,,T-Nut - Square for 2020 - M5 (Single)
8,HW1881NC,,,T-Nut - Square for 3030 - M6 (Single)
6,HW2848NC,,,Washer Simple M4 - Nylon - 8mm x 4mm x 1mm
6,HW2746NC,,,Washer Simple M6 - Black 12.9 Steel
4,HW2120WC,,,Micro Precision Shim - 6.5 x 5 x 1mm
3,HW2792NC,,,Spacer - Stainless Steel - 12mm (Length) * 4.1mm (ID) * 8mm (OD)
1,HW2204GC,,,Coupler - Spider/Jaw Type - 5mm*8mm
1,HW2855WC,,,Idler Pulley - Toothed for 2GT-20T - 6mm Belt - 5mm Bore (Compressible)
1,HW2854WC,,,Idler Pulley - Toothed for 2GT-20T - 9mm Belt - 5mm Bore (Compressible)
1,HW2118WC,,,Thrust Bearing F8-16M
1,HW1035WC,,,Timing Pulley - 2GT (2mm) - 20 Tooth
1,HW1654WC,,,Timing Pulley - 2GT (2mm) - 20 Tooth - For 9mm Belt - 5mm Bore
4,HW2125GC,,,Rubber foot with metal insert - Heavy Duty - 28*22*16.5mm
1,HW2205GC,,,TR8*4 Anti-Backlash Nut Block 
1,HW2887GK,,,V-Minion - Extra Parts (fasteners and nuts)
1,HW1511CC,,,Machine Packaging Generic
,,,,
,,,,
,SKU,,,Product Name
,HW2887GK,,,V-Minion - Extra Parts (fasteners and nuts)
,,,,26/12/2021 20:20
,,,,
QTY,SKU,Length (mm),Tap,Item name
